{'request_id': '53255e9a-3699-4d38-b644-889e023e5609', 'user_id': None, 'method': 'GET', 'path': '/', 'status_code': 200, 'duration_ms': 6.33}
{'request_id': '10cef5e2-679d-4696-99a8-52cfb0070e0e', 'user_id': None, 'method': 'GET', 'path': '/docs', 'status_code': 200, 'duration_ms': 0.5}
{'request_id': 'e885f030-390c-4f52-ae80-5a9a9f96507c', 'user_id': None, 'method': 'GET', 'path': '/openapi.json', 'status_code': 200, 'duration_ms': 69.59}
{'request_id': '9a5bf9df-0f12-4359-becd-6869f27cdd62', 'user_id': None, 'method': 'GET', 'path': '/products/', 'status_code': 200, 'duration_ms': 15.32}
{'request_id': 'e166dc95-83cf-4ca8-8213-62d396a46c1f', 'user_id': None, 'method': 'GET', 'path': '/docs', 'status_code': 200, 'duration_ms': 0.71}
{'request_id': 'ae24d9bb-6073-4506-bc9f-2875a1605dfc', 'user_id': None, 'method': 'GET', 'path': '/openapi.json', 'status_code': 200, 'duration_ms': 75.93}
{'request_id': '09b840f3-db8e-45e4-81e3-b67d2c5eb553', 'user_id': None, 'method': 'GET', 'path': '/docs', 'status_code': 200, 'duration_ms': 0.73}
{'request_id': '7c6eea12-285a-4429-a9d6-75364a058b19', 'user_id': None, 'method': 'GET', 'path': '/openapi.json', 'status_code': 200, 'duration_ms': 89.41}
{'request_id': '967c4fb1-b875-4b86-8311-dc125f146dd3', 'user_id': None, 'method': 'POST', 'path': '/products/suggest-metadata', 'status_code': 200, 'duration_ms': 3211.52}
{'request_id': '8112d021-2fe8-4269-aff2-f67393c7f9eb', 'user_id': None, 'method': 'GET', 'path': '/products/', 'status_code': 200, 'duration_ms': 24.61}
{'request_id': '944b55d7-b764-4bf4-be17-af62135eb75b', 'user_id': None, 'method': 'GET', 'path': '/products/1', 'status_code': 200, 'duration_ms': 8.34}
{'request_id': '4a386008-c8a7-4a7e-9ea6-fa9cb03ee124', 'user_id': None, 'method': 'POST', 'path': '/auth/login', 'status_code': 200, 'duration_ms': 581.46}
{'request_id': 'eb9a8527-36e3-45b1-a105-5f8fb71a1113', 'user_id': 1, 'method': 'PUT', 'path': '/products/1', 'status_code': 200, 'duration_ms': 23.54}
{'request_id': '0da5b928-8de6-4087-86f3-ac315a09f456', 'user_id': None, 'method': 'GET', 'path': '/products/1', 'status_code': 200, 'duration_ms': 4.62}
{'request_id': '8255a159-dd25-46fe-8ddf-da35a8002f97', 'user_id': 1, 'method': 'DELETE', 'path': '/products/1', 'status_code': 200, 'duration_ms': 21.06}
{'request_id': 'e7705a2b-56c3-4ea0-a032-da8fb50c3d4e', 'user_id': None, 'method': 'GET', 'path': '/products/', 'status_code': 200, 'duration_ms': 3.47}
{'request_id': 'a3b79544-20cb-4d6e-a455-2ddef2d24d8f', 'user_id': 1, 'method': 'POST', 'path': '/products/', 'status_code': 200, 'duration_ms': 32.84}
{'request_id': '4ab0ccf8-7b8a-4020-9be5-a8ea2ef16ff4', 'user_id': None, 'method': 'GET', 'path': '/products/', 'status_code': 200, 'duration_ms': 3.31}
{'request_id': 'a35667eb-14f8-4f81-b665-930c548f1c69', 'user_id': 1, 'method': 'DELETE', 'path': '/products/3', 'status_code': 200, 'duration_ms': 19.48}
{'request_id': '8713f1d1-8681-4dc4-8c4d-3c2356c17f1d', 'user_id': None, 'method': 'GET', 'path': '/products/2', 'status_code': 200, 'duration_ms': 4.06}
{'request_id': '69aca0e6-97bf-4170-b5e6-b4b9619521c5', 'user_id': None, 'method': 'GET', 'path': '/products/', 'status_code': 200, 'duration_ms': 4.41}
{'request_id': 'e5eee57f-acc3-4d22-94ca-8544de9d5755', 'user_id': None, 'method': 'POST', 'path': '/products/suggest-metadata', 'status_code': 200, 'duration_ms': 3802.28}
{'request_id': 'ff65f316-ffad-497a-b208-86dcf49fe60c', 'user_id': None, 'method': 'GET', 'path': '/', 'status_code': 200, 'duration_ms': 3.56}
